"ID","X","Y","X_km","Y_km","type","concentration","campaign"
1,617016,5055277,617.016,5055.277,"Benzene",4.72287959538757,"Dec 2005"
2,616901,5058029,616.901,5058.029,"Benzene",1.25556115382817,"Dec 2005"
3,616383,5056023,616.383,5056.023,"Benzene",3.83378435133038,"Dec 2005"
4,616408,5053084,616.408,5053.084,"Benzene",2.26881709633817,"Dec 2005"
5,615939,5051836,615.939,5051.836,"Benzene",2.19984217893023,"Dec 2005"
6,616013,5050797,616.013,5050.797,"Benzene",1.4814738366708,"Dec 2005"
7,614386,5051540,614.386,5051.54,"Benzene",2.04268985605001,"Dec 2005"
8,614806,5049373,614.806,5049.373,"Benzene",1.54394902388142,"Dec 2005"
9,613467,5049945,613.467,5049.945,"Benzene",1.88366275798441,"Dec 2005"
10,609889,5052022,609.889,5052.022,"Benzene",1.39235322992468,"Dec 2005"
11,611739,5050874,611.739,5050.874,"Benzene",2.18770711130644,"Dec 2005"
12,610435,5054487,610.435,5054.487,"Benzene",1.5699083155186,"Dec 2005"
13,610432,5055978,610.432,5055.978,"Benzene",1.17398850310616,"Dec 2005"
15,608897,5054999,608.897,5054.999,"Benzene",0.874372452559293,"Dec 2005"
16,607350,5053455,607.35,5053.455,"Benzene",1.1255150272929,"Dec 2005"
17,607864,5051541,607.864,5051.541,"Benzene",1.76114323693537,"Dec 2005"
18,605903,5050600,605.903,5050.6,"Benzene",1.78461877776697,"Dec 2005"
19,605890,5049824,605.89,5049.824,"Benzene",1.27536290458206,"Dec 2005"
20,606448,5048510,606.448,5048.51,"Benzene",1.74649330761236,"Dec 2005"
21,607446,5048889,607.446,5048.889,"Benzene",1.81336959732715,"Dec 2005"
22,608416,5048427,608.416,5048.427,"Benzene",2.44549915967533,"Dec 2005"
23,608903,5047013,608.903,5047.013,"Benzene",1.96503286659801,"Dec 2005"
24,609895,5048005,609.895,5048.005,"Benzene",1.97504821850878,"Dec 2005"
25,610447,5048850,610.447,5048.85,"Benzene",2.12033159356571,"Dec 2005"
26,611350,5046538,611.35,5046.538,"Benzene",1.81956404285376,"Dec 2005"
27,612419,5048498,612.419,5048.498,"Benzene",1.9473717590295,"Dec 2005"
28,613827,5048033,613.827,5048.033,"Benzene",1.74827223543839,"Dec 2005"
29,614916,5046032,614.916,5046.032,"Benzene",1.77866398861491,"Dec 2005"
30,613888,5044500,613.888,5044.5,"Benzene",1.78762422483357,"Dec 2005"
31,612886,5045388,612.886,5045.388,"Benzene",2.14940422273421,"Dec 2005"
